backend,batch_size,input_lbas,slm_read_chunk_bytes,slm_read_queue_depth,iteration,output_layout,physical_output_bytes_per_u8,slm_create_ms,ssd_to_slm_ms,program_setup_ms,fpga_execute_ms,slm_to_host_ms,host_verify_ms,dump_write_ms,cleanup_ms,transport_ready_ms,data_path_ms,one_shot_transport_ready_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,32,1,131072,1,29,hpu-native-psi64-v80,98304,13.668000,13.444000,63.216000,10.716000,2410.567000,11.342000,0.000000,59.495000,2434.727000,2446.069000,2511.653000,2523.015000,2587.134000,334.875000,76439.656250,2986.189,13.082
fpga,128,1,131072,1,0,hpu-native-psi64-v80,98304,15.875000,16.467000,64.023000,29.920000,4079.651000,28.556000,0.000000,55.491000,4126.038000,4154.594000,4205.972000,4234.548000,4299.825000,233.750000,32457.765625,4278.075,30.809
fpga,128,1,131072,1,1,hpu-native-psi64-v80,98304,19.061000,14.125000,57.134000,29.576000,3936.378000,28.276000,0.000000,44.216000,3980.079000,4008.355000,4056.304000,4084.599000,4138.819000,231.062500,31315.273438,4327.833,31.933
fpga,128,1,131072,1,2,hpu-native-psi64-v80,98304,18.797000,15.630000,70.061000,27.924000,5938.808000,34.318000,0.000000,52.314000,5982.362000,6016.680000,6071.249000,6105.601000,6167.928000,218.156250,47005.312500,4583.871,21.274
fpga,128,1,131072,1,3,hpu-native-psi64-v80,98304,18.646000,15.586000,63.477000,27.996000,5288.744000,31.205000,0.000000,55.456000,5332.326000,5363.531000,5414.477000,5445.742000,5511.329000,218.718750,41902.585938,4572.082,23.865
fpga,128,1,131072,1,4,hpu-native-psi64-v80,98304,19.995000,14.124000,63.462000,28.223000,3339.305000,28.569000,0.000000,51.485000,3381.652000,3410.221000,3465.134000,3493.723000,3554.791000,220.492188,26642.351562,4535.308,37.534
fpga,128,1,131072,1,5,hpu-native-psi64-v80,98304,18.475000,14.228000,70.991000,28.737000,3345.155000,25.018000,0.000000,49.780000,3388.120000,3413.138000,3477.621000,3502.653000,3562.848000,224.507812,26665.140625,4454.188,37.502
fpga,128,1,131072,1,6,hpu-native-psi64-v80,98304,20.399000,14.485000,65.632000,28.804000,3342.266000,29.961000,0.000000,51.258000,3385.555000,3415.516000,3471.619000,3501.635000,3563.254000,225.031250,26683.718750,4443.827,37.476
fpga,128,1,131072,1,7,hpu-native-psi64-v80,98304,18.244000,18.399000,61.830000,28.653000,3748.096000,28.876000,0.000000,56.965000,3795.148000,3824.024000,3875.247000,3904.145000,3971.544000,223.851562,29875.187500,4467.246,33.473
fpga,128,1,131072,1,8,hpu-native-psi64-v80,98304,18.498000,16.481000,60.478000,28.372000,9846.110000,31.577000,0.000000,48.203000,9890.963000,9922.540000,9969.967000,10001.561000,10060.295000,221.656250,77519.843750,4511.490,12.900
fpga,128,1,131072,1,9,hpu-native-psi64-v80,98304,23.832000,14.922000,64.347000,28.701000,4110.118000,28.213000,0.000000,48.951000,4153.741000,4181.954000,4241.944000,4270.180000,4328.803000,224.226562,32671.515625,4459.775,30.608
fpga,128,1,131072,1,10,hpu-native-psi64-v80,98304,15.801000,17.607000,60.559000,29.344000,3529.998000,31.536000,0.000000,46.331000,3576.949000,3608.485000,3653.333000,3684.909000,3741.123000,229.250000,28191.289062,4362.050,35.472
fpga,128,1,131072,1,11,hpu-native-psi64-v80,98304,19.878000,16.068000,69.563000,29.270000,3735.210000,29.719000,0.000000,46.336000,3780.548000,3810.267000,3870.022000,3899.797000,3956.008000,228.671875,29767.710938,4373.078,33.593
fpga,128,1,131072,1,12,hpu-native-psi64-v80,98304,16.288000,15.989000,68.237000,29.678000,5211.023000,27.071000,0.000000,50.777000,5256.690000,5283.761000,5341.247000,5368.336000,5432.005000,231.859375,41279.382812,4312.959,24.225
fpga,128,1,131072,1,13,hpu-native-psi64-v80,98304,16.014000,17.350000,71.081000,31.581000,3795.800000,29.685000,0.000000,52.983000,3844.731000,3874.416000,3931.867000,3961.571000,4025.074000,246.726562,30268.875000,4053.070,33.037
