backend,mode,batch_size,iteration,output_layout,physical_output_bytes_per_u8,encrypt_ms,native_pack_ms,encrypt_and_pack_ms,per_u8_encrypt_us,per_u8_encrypt_and_pack_us,plaintext_bytes_per_s,native_ciphertext_bytes_per_s
cpu,serial,32,9,hpu-native-psi64-v80,98304,14.785704000,1.042913000,15.828749000,462.053250,494.648406,2021.638,198735099.028
cpu,serial,32,10,hpu-native-psi64-v80,98304,14.781333000,1.043269000,15.824730000,461.916656,494.522812,2022.151,198785571.697
cpu,serial,32,11,hpu-native-psi64-v80,98304,14.782407000,1.043622000,15.826160000,461.950219,494.567500,2021.969,198767610.084
cpu,serial,32,12,hpu-native-psi64-v80,98304,14.782993000,1.043520000,15.826650000,461.968531,494.582813,2021.906,198761456.151
cpu,serial,32,13,hpu-native-psi64-v80,98304,14.781659000,1.043072000,15.824855000,461.926844,494.526719,2022.135,198784001.496
cpu,serial,32,14,hpu-native-psi64-v80,98304,14.784565000,1.043597000,15.828294000,462.017656,494.634187,2021.696,198740811.865
cpu,serial,32,15,hpu-native-psi64-v80,98304,14.784748000,1.043372000,15.828252000,462.023375,494.632875,2021.701,198741339.221
cpu,serial,32,16,hpu-native-psi64-v80,98304,14.780130000,1.043361000,15.823642000,461.879063,494.488812,2022.290,198799239.770
cpu,serial,32,17,hpu-native-psi64-v80,98304,14.781084000,1.043206000,15.824441000,461.908875,494.513781,2022.188,198789202.096
cpu,serial,32,18,hpu-native-psi64-v80,98304,14.784623000,1.043922000,15.828689000,462.019469,494.646531,2021.646,198735852.350
cpu,serial,32,19,hpu-native-psi64-v80,98304,14.777477000,1.043414000,15.821029000,461.796156,494.407156,2022.624,198832073.438
cpu,serial,32,20,hpu-native-psi64-v80,98304,14.783715000,1.043852000,15.827702000,461.991094,494.615687,2021.772,198748245.323
cpu,serial,32,21,hpu-native-psi64-v80,98304,14.786073000,1.043269000,15.829467000,462.064781,494.670844,2021.546,198726084.713
cpu,serial,32,22,hpu-native-psi64-v80,98304,14.785199000,1.043575000,15.828904000,462.037469,494.653250,2021.618,198733152.971
cpu,serial,32,23,hpu-native-psi64-v80,98304,14.779948000,1.043527000,15.823614000,461.873375,494.487937,2022.294,198799591.547
cpu,serial,32,24,hpu-native-psi64-v80,98304,14.783434000,1.043243000,15.826797000,461.982312,494.587406,2021.887,198759610.046
cpu,serial,32,25,hpu-native-psi64-v80,98304,14.780168000,1.043676000,15.823956000,461.880250,494.498625,2022.250,198795294.931
cpu,serial,32,26,hpu-native-psi64-v80,98304,14.793180000,1.043318000,15.836629000,462.286875,494.894656,2020.632,198636212.290
cpu,serial,32,27,hpu-native-psi64-v80,98304,14.781533000,1.043552000,15.825206000,461.922906,494.537688,2022.091,198779592.506
cpu,serial,32,28,hpu-native-psi64-v80,98304,14.782228000,1.044060000,15.826410000,461.944625,494.575312,2021.937,198764470.275
cpu,serial,32,29,hpu-native-psi64-v80,98304,14.780544000,1.043718000,15.824361000,461.892000,494.511281,2022.199,198790207.074
cpu,serial,128,0,hpu-native-psi64-v80,98304,59.177107000,4.291650000,63.469105000,462.321148,495.852383,2016.729,198252551.379
cpu,serial,128,1,hpu-native-psi64-v80,98304,59.155286000,4.272642000,63.428155000,462.150672,495.532461,2018.031,198380545.674
cpu,serial,128,2,hpu-native-psi64-v80,98304,59.158627000,4.244891000,63.403693000,462.176773,495.341352,2018.810,198457083.565
cpu,serial,128,3,hpu-native-psi64-v80,98304,59.158254000,4.239331000,63.397766000,462.173859,495.295047,2018.999,198475637.138
cpu,serial,128,4,hpu-native-psi64-v80,98304,59.159812000,4.232578000,63.392578000,462.186031,495.254516,2019.164,198491880.232
cpu,serial,128,5,hpu-native-psi64-v80,98304,59.160122000,4.260914000,63.421231000,462.188453,495.478367,2018.252,198402203.830
cpu,serial,128,6,hpu-native-psi64-v80,98304,59.166259000,4.242079000,63.408537000,462.236398,495.379195,2018.656,198441922.734
cpu,serial,128,7,hpu-native-psi64-v80,98304,59.154406000,4.230751000,63.385359000,462.143797,495.198117,2019.394,198514486.602
cpu,serial,128,8,hpu-native-psi64-v80,98304,59.155523000,4.232874000,63.388574000,462.152523,495.223234,2019.291,198504418.162
cpu,serial,128,9,hpu-native-psi64-v80,98304,59.162961000,4.241479000,63.404617000,462.210633,495.348570,2018.780,198454191.435
cpu,serial,128,10,hpu-native-psi64-v80,98304,59.158688000,4.232763000,63.391651000,462.177250,495.247273,2019.193,198494782.854
cpu,serial,128,11,hpu-native-psi64-v80,98304,59.277715000,4.243154000,63.521057000,463.107148,496.258258,2015.080,198090406.462
cpu,serial,128,12,hpu-native-psi64-v80,98304,59.315008000,4.236827000,63.552025000,463.398500,496.500195,2014.098,197993879.817
cpu,serial,128,13,hpu-native-psi64-v80,98304,59.164307000,4.234371000,63.398854000,462.221148,495.303547,2018.964,198472231.060
cpu,serial,128,14,hpu-native-psi64-v80,98304,59.170159000,4.233499000,63.403838000,462.266867,495.342484,2018.805,198456629.707
cpu,serial,128,15,hpu-native-psi64-v80,98304,59.158832000,4.241787000,63.400809000,462.178375,495.318820,2018.902,198466111.055
cpu,serial,128,16,hpu-native-psi64-v80,98304,59.163363000,4.235188000,63.398735000,462.213773,495.302617,2018.968,198472603.594
cpu,serial,128,17,hpu-native-psi64-v80,98304,59.158391000,4.229865000,63.388436000,462.174930,495.222156,2019.296,198504850.317
cpu,serial,128,18,hpu-native-psi64-v80,98304,59.158356000,4.230928000,63.389493000,462.174656,495.230414,2019.262,198501540.310
cpu,serial,128,19,hpu-native-psi64-v80,98304,59.160867000,4.237983000,63.399027000,462.194273,495.304898,2018.958,198471689.479
cpu,serial,128,20,hpu-native-psi64-v80,98304,59.147602000,4.234157000,63.381966000,462.090641,495.171609,2019.502,198525113.595
cpu,serial,128,21,hpu-native-psi64-v80,98304,59.155449000,4.237861000,63.393507000,462.151945,495.261773,2019.134,198488971.434
cpu,serial,128,22,hpu-native-psi64-v80,98304,59.150227000,4.229672000,63.380085000,462.111148,495.156914,2019.562,198531005.441
cpu,serial,128,23,hpu-native-psi64-v80,98304,59.146785000,4.227774000,63.374747000,462.084258,495.115211,2019.732,198547727.536
cpu,serial,128,24,hpu-native-psi64-v80,98304,59.150343000,4.276029000,63.426580000,462.112055,495.520156,2018.081,198385471.832
cpu,serial,128,25,hpu-native-psi64-v80,98304,59.168848000,4.234273000,63.403308000,462.256625,495.338344,2018.822,198458288.643
cpu,serial,128,26,hpu-native-psi64-v80,98304,59.145457000,4.230455000,63.376111000,462.073883,495.125867,2019.688,198543454.331
cpu,serial,128,27,hpu-native-psi64-v80,98304,59.171669000,4.237391000,63.409241000,462.278664,495.384695,2018.633,198439719.536
cpu,serial,128,28,hpu-native-psi64-v80,98304,59.293480000,4.235998000,63.529657000,463.230313,496.325445,2014.807,198063590.993
cpu,serial,128,29,hpu-native-psi64-v80,98304,59.145370000,4.231880000,63.377440000,462.073203,495.136250,2019.646,198539290.953
