backend,mode,batch_size,iteration,elapsed_ms,per_u8_us,plaintext_bytes_per_s,logical_ciphertext_bytes_per_s
cpu,serial,64,4,30.408947000,475.139797,2104.644,137997280.866
cpu,serial,64,5,30.432206000,475.503219,2103.035,137891811.064
cpu,serial,64,6,30.383963000,474.749422,2106.374,138110752.702
cpu,serial,64,7,30.406461000,475.100953,2104.816,138008563.377
cpu,serial,64,8,30.409198000,475.143719,2104.626,137996141.825
cpu,serial,64,9,30.402123000,475.033172,2105.116,138028255.461
cpu,serial,64,10,30.363165000,474.424453,2107.817,138205355.074
cpu,serial,64,11,30.350305000,474.223516,2108.710,138263915.305
cpu,serial,64,12,30.355248000,474.300750,2108.367,138241400.630
cpu,serial,64,13,30.337705000,474.026641,2109.586,138321339.732
cpu,serial,64,14,30.339528000,474.055125,2109.459,138313028.469
cpu,serial,64,15,30.383445000,474.741328,2106.410,138113107.319
cpu,serial,64,16,30.402005000,475.031328,2105.124,138028791.193
cpu,serial,64,17,30.379824000,474.684750,2106.661,138129569.151
cpu,serial,64,18,30.389520000,474.836250,2105.989,138085497.895
cpu,serial,64,19,30.390347000,474.849172,2105.932,138081740.232
cpu,serial,64,20,30.424664000,475.385375,2103.557,137925993.201
cpu,serial,64,21,30.459610000,475.931406,2101.143,137767752.115
cpu,serial,64,22,30.428550000,475.446094,2103.288,137908378.809
cpu,serial,64,23,30.420402000,475.318781,2103.851,137945317.093
cpu,serial,64,24,30.380537000,474.695891,2106.612,138126327.392
cpu,serial,64,25,30.337417000,474.022141,2109.606,138322652.848
cpu,serial,64,26,30.470252000,476.097687,2100.409,137719635.532
cpu,serial,64,27,30.342459000,474.100922,2109.256,138299667.802
cpu,serial,64,28,30.349568000,474.212000,2108.761,138267272.865
cpu,serial,64,29,30.357449000,474.335141,2108.214,138231377.742
cpu,serial,128,0,61.840727000,483.130680,2069.833,135714834.012
cpu,serial,128,1,61.567075000,480.992773,2079.033,136318056.364
cpu,serial,128,2,61.395731000,479.654148,2084.836,136698494.558
cpu,serial,128,3,61.481403000,480.323461,2081.930,136508010.398
cpu,serial,128,4,61.482097000,480.328883,2081.907,136506469.517
cpu,serial,128,5,61.357949000,479.358977,2086.119,136782668.534
cpu,serial,128,6,61.383898000,479.561703,2085.237,136724845.985
